Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 72.87      4.97     4.97 80219600     0.00     0.00  calculate_distance(std::array<double, 3ul>, std::array<double, 3ul>, double)
 13.05      5.86     0.89   100000     0.00     0.00  calculate_pair_energy(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, int, double, double)
  7.62      6.38     0.52 481537272     0.00     0.00  std::array<double, 3ul>::operator[](unsigned long)
  2.49      6.55     0.17 160656472     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::operator[](unsigned long)
  1.76      6.67     0.12  8957825     0.00     0.00  calculate_LJ(double)
  1.61      6.78     0.11        1     0.11     0.13  calculate_total_energy(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, double, double)
  0.15      6.79     0.01   372676     0.00     0.00  std::log(long double)
  0.15      6.80     0.01   100119     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl::~_Vector_impl()
  0.15      6.81     0.01   100065     0.00     0.00  std::__new_allocator<std::array<double, 3ul> >::deallocate(std::array<double, 3ul>*, unsigned long)
  0.07      6.82     0.01   200108     0.00     0.00  __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >::__normal_iterator(std::array<double, 3ul> const* const&)
  0.07      6.82     0.01   100054     0.00     0.00  std::array<double, 3ul>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*>(__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >, std::array<double, 3ul>*)
  0.00      6.82     0.00   521300     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::size() const
  0.00      6.82     0.00   422676     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::operator()()
  0.00      6.82     0.00   422676     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 16807ul, 0ul, true, true>::__calc(unsigned long)
  0.00      6.82     0.00   422676     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>(unsigned long)
  0.00      6.82     0.00   372676     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      6.82     0.00   372676     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::min()
  0.00      6.82     0.00   236338     0.00     0.00  std::__is_constant_evaluated()
  0.00      6.82     0.00   200195     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_get_Tp_allocator()
  0.00      6.82     0.00   200173     0.00     0.00  std::__new_allocator<std::array<double, 3ul> >::~__new_allocator()
  0.00      6.82     0.00   200108     0.00     0.00  __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >::base() const
  0.00      6.82     0.00   200108     0.00     0.00  __gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > std::__miter_base<__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >(__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >)
  0.00      6.82     0.00   200108     0.00     0.00  std::array<double, 3ul> const* std::__niter_base<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >(__gnu_cxx::__normal_iterator<std::array<double, 3ul> const*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >)
  0.00      6.82     0.00   186402     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.82     0.00   186370     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.82     0.00   186338     0.00     0.00  random_double(double, double)
  0.00      6.82     0.00   186338     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      6.82     0.00   186338     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00      6.82     0.00   186338     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00      6.82     0.00   186338     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      6.82     0.00   186338     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::uniform_real_distribution<double>::param_type const&)
