Sun Nov 16 22:59:38 2025    profile_python.prof

         5726277 function calls (5724126 primitive calls) in 9.959 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3368250    4.424    0.000    4.424    0.000 {built-in method builtins.round}
  1122750    2.942    0.000    7.506    0.000 mcsim_psl.py:69(calculate_distance)
     11/9    1.150    0.105    1.155    0.128 {built-in method _imp.create_dynamic}
     2000    0.515    0.000    7.206    0.004 mcsim_psl.py:199(calculate_pair_energy)
       95    0.431    0.005    0.431    0.005 {method 'read' of '_io.BufferedReader' objects}
  1122751    0.140    0.000    0.140    0.000 {built-in method math.sqrt}
      405    0.121    0.000    0.121    0.000 {built-in method posix.stat}
        1    0.080    0.080    0.897    0.897 mcsim_psl.py:109(calculate_total_energy)
        1    0.030    0.030    0.030    0.030 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_scimath_impl.py:1(<module>)
        1    0.029    0.029    0.030    0.030 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:168(_register_known_types)
       95    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
       95    0.009    0.000    0.009    0.000 {built-in method _io.open_code}
        1    0.005    0.005    8.115    8.115 mcsim_psl.py:243(run_simulation)
  143/142    0.002    0.000    0.006    0.000 {built-in method builtins.__build_class__}
     4500    0.002    0.000    0.003    0.000 /home/codespace/.python/current/lib/python3.12/random.py:494(uniform)
     2395    0.002    0.000    0.003    0.000 mcsim_psl.py:12(calculate_LJ)
    12323    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      318    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      164    0.001    0.000    0.125    0.001 <frozen importlib._bootstrap_external>:1589(find_spec)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
     6101    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       95    0.001    0.000    0.456    0.005 <frozen importlib._bootstrap_external>:1061(get_code)
      183    0.001    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:262(_collect_parameters)
     4791    0.001    0.000    0.001    0.000 {built-in method math.pow}
     1000    0.001    0.000    0.003    0.000 /home/codespace/.python/current/lib/python3.12/random.py:291(randrange)
      108    0.001    0.000    0.128    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      879    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     4830    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
     1260    0.001    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1169(__setattr__)
      265    0.001    0.000    0.005    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:144(decorator)
       95    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      460    0.001    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/_inspect.py:66(getargs)
     1000    0.001    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/random.py:242(_randbelow_with_getrandbits)
     2199    0.001    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1227(<genexpr>)
    109/2    0.001    0.000    1.843    0.921 <frozen importlib._bootstrap>:1349(_find_and_load)
      318    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      268    0.001    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/functools.py:35(update_wrapper)
4499/4470    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       10    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       95    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
     4462    0.001    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1577(<genexpr>)
      180    0.001    0.000    0.006    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1223(__init__)
      190    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
     1552    0.001    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1117(_is_dunder)
      230    0.001    0.000    0.003    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:85(verify_matching_signatures)
      292    0.001    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:175(_type_check)
     2828    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
  799/794    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x648c42784920}
      318    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       10    0.001    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/collections/__init__.py:355(namedtuple)
    109/2    0.001    0.000    1.843    0.921 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1915    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        8    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     3225    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       18    0.001    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1697(_guarded_repr_or_str)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     96/1    0.001    0.000    9.959    9.959 {built-in method builtins.exec}
     1000    0.000    0.000    0.001    0.000 mcsim_psl.py:180(accept_or_reject)
     1704    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      310    0.000    0.000    0.002    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/function_base.py:486(add_newdoc)
       50    0.000    0.000    0.004    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:732(Literal)
      460    0.000    0.000    0.002    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/_inspect.py:97(getargspec)
        1    0.000    0.000    0.001    0.001 mcsim_psl.py:38(generate_random_coordinates)
        1    0.000    0.000    1.628    1.628 /home/codespace/.local/lib/python3.12/site-packages/numpy/__init__.py:1(<module>)
       76    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1587(__hash__)
    85/30    0.000    0.000    0.003    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1309(_make_substitution)
      106    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      318    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.print}
    106/2    0.000    0.000    1.790    0.895 <frozen importlib._bootstrap>:911(_load_unlocked)
     1948    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      106    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
       95    0.000    0.000    0.441    0.005 <frozen importlib._bootstrap_external>:1182(get_data)
    265/4    0.000    0.000    1.758    0.440 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1117    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     95/2    0.000    0.000    1.790    0.895 <frozen importlib._bootstrap_external>:988(exec_module)
        6    0.000    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:36(__init__)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
   165/20    0.000    0.000    1.516    0.076 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     14/8    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:512(_parse)
       95    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
     1309    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      724    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  235/127    0.000    0.000    0.013    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:378(inner)
      209    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      108    0.000    0.000    0.125    0.001 <frozen importlib._bootstrap_external>:1487(_get_spec)
